emoji,words,category
〰,wavy dash | dash | punctuation | wavy,punctuation
‼,double exclamation mark | bangbang | double | exclamation,punctuation
⁉,exclamation question mark | exclamation | interrobang | mark,punctuation
*⃣,asterisk,keycap
〽,part alternation mark | alternation | mark | part,symbols
©,copyright,symbols
®,registered,symbols
↔,left-right arrow | arrow | left-right,arrow
↕,up-down arrow | arrow | up-down,arrow
↖,up-left arrow | arrow | direction | intercardinal,arrow
↗,up-right arrow | arrow | direction | intercardinal,arrow
↘,down-right arrow | arrow | direction | down-right,arrow
↙,down-left arrow | arrow | direction | down-left,arrow
↩,right arrow curving left | arrow | curving | left,arrow
↪,left arrow curving right | arrow | curving | left,arrow
⌚,watch | clock | time,time
⌛,hourglass done | done | hourglass | sand,time
⌨,keyboard | computer,computer
⏏,eject button | eject,av symbol
⏩,fast-forward button | arrow | double | fast,av symbol
⏪,fast reverse button | arrow | double | fast,av symbol
⏫,fast up button | arrow | double | fast,av symbol
⏬,fast down button | arrow | double | down,av symbol
⏭,next track button | arrow | next | scene,av symbol
⏮,last track button | arrow | last | previous,av symbol
⏯,play or pause button | arrow | pause | play,av symbol
⏰,alarm clock | alarm | clock | hours,time
⏱,stopwatch | clock | time,time
⏲,timer clock | clock | timer,time
⏳,hourglass not done | done | flowing | hourglass,time
⏸,pause button | bar | double | pause,av symbol
⏹,stop button | square | stop,av symbol
⏺,record button | circle | record,av symbol
▪,black small square | black | geometric | small,geometric
▫,white small square | geometric | small | square,geometric
▶,play button | arrow | play | right,av symbol
◀,reverse button | arrow | left | reverse,av symbol
◻,white medium square | geometric | medium | square,geometric
◼,black medium square | black | geometric | medium,geometric
◽,white medium-small square | geometric | medium-small | square,geometric
◾,black medium-small square | black | geometric | medium-small,geometric
☀,sun | bright | rays | space,sky and weather
☁,cloud | weather,sky and weather
☂,umbrella | clothing | rain,sky and weather
☃,snowman | cold | man | snow,sky and weather
☄,comet | space,sky and weather
☎,telephone | phone,phone
☑,check box with check | ballot | box | check,symbols
☔,umbrella with rain drops | clothing | drop | drops,sky and weather
☕,hot beverage | beverage | cafe | caffeine,drink
☘,shamrock | irish | plant,plant other
☝,index pointing up | finger | hand | index,hand single finger
☠,skull and crossbones | bone | crossbones | dead,face negative
☢,radioactive | sign,warning
☣,biohazard | sign,warning
☦,orthodox cross | christian | cross | orthodox,religion
☪,star and crescent | crescent | islam | muslim,religion
☮,peace symbol | healing | peace | peaceful,religion
☯,yin yang | difficult | lives | religion,religion
☸,wheel of dharma | buddhist | dharma | religion,religion
☹,frowning | face | frown | sad,face concerned
☺,smiling | face | happy | outlined,face affection
♀,female sign | female | sign | woman,gender
♂,male sign | male | man | sign,gender
♈,aries | horoscope | ram | zodiac,zodiac
♉,taurus | bull | horoscope | ox,zodiac
♊,gemini | horoscope | twins | zodiac,zodiac
♋,cancer | crab | horoscope | zodiac,zodiac
♌,leo | horoscope | lion | zodiac,zodiac
♍,virgo | horoscope | zodiac,zodiac
♎,libra | balance | horoscope | justice,zodiac
♏,scorpio | horoscope | scorpion | scorpius,zodiac
♐,sagittarius | archer | horoscope | zodiac,zodiac
♑,capricorn | goat | horoscope | zodiac,zodiac
♒,aquarius | bearer | horoscope | water,zodiac
♓,pisces | fish | horoscope | zodiac,zodiac
♟,chess pawn | chess | dupe | expendable,game
♠,spade suit | card | game | spade,game
♣,club suit | card | club | clubs,game
♥,heart suit | card | emotion | game,game
♦,diamond suit | card | diamond | game,game
♨,hot springs | hot | hotsprings | springs,place other
♻,recycling symbol | recycle | recycling,symbols
♾,infinity | forever | unbounded | universal,math
♿,wheelchair symbol | access | handicap | wheelchair,transport sign
⚒,hammer and pick | hammer | pick | tool,tool
⚓,anchor | ship | tool,transport water
⚔,crossed swords | crossed | swords | weapon,tool
⚕,medical symbol | aesculapius | medical | medicine,symbols
⚖,balance scale | balance | justice | libra,tool
⚗,alembic | chemistry | tool,science
⚙,gear | cog | cogwheel | tool,tool
⚛,atom symbol | atheist | atom,religion
⚜,fleur-de-lis | knights,symbols
⚠,warning | caution,warning
⚡,high voltage | danger | electric | electricity,sky and weather
⚧,transgender symbol | transgender,gender
⚪,white circle | circle | geometric | white,geometric
⚫,black circle | black | circle | geometric,geometric
⚰,coffin | dead | death | vampire,objects
⚱,funeral urn | ashes | death | funeral,objects
⚽,soccer ball | ball | football | futbol,sport
⚾,baseball | ball | sport,sport
⛄,snowman without snow | cold | man | snow,sky and weather
⛅,sun behind cloud | behind | cloud | cloudy,sky and weather
⛈,cloud with lightning and rain | cloud | lightning | rain,sky and weather
⛎,ophiuchus | bearer | serpent | snake,zodiac
⛏,pick | hammer | mining | tool,tool
⛑,aid | cross | face | hat,clothing
⛓,chains | chain,tool
⛓‍💥,broken chain | break | breaking | broken,tool
⛔,no entry | do | entry | fail,warning
⛩,shinto shrine | religion | shinto | shrine,place religious
⛪,church | bless | chapel | christian,place religious
⛰,mountain,place geographic
⛱,umbrella on ground | ground | rain | sun,sky and weather
⛲,fountain,place other
⛳,flag in hole | golf | hole | sport,sport
⛴,ferry | boat | passenger,transport water
⛵,sailboat | boat | resort | sailing,transport water
⛷,skier | ski | snow,person sport
⛸,ice skate | ice | skate | skating,sport
⛹,person bouncing ball | athletic | ball | basketball,person sport
⛹‍♀,woman bouncing ball | athletic | ball | basketball,person sport
⛹‍♂,man bouncing ball | athletic | ball | basketball,person sport
⛺,tent | camping,place other
⛽,fuel pump | diesel | fuel | fuelpump,transport ground
🇦🇨,ascension island,country flag
🇦🇩,andorra,country flag
