emoji,tts,keywords,all_words,category,group,subgroup,unicode_name
〰,wavy dash,dash | punctuation | wavy,wavy dash | dash | punctuation | wavy,punctuation,Symbols,punctuation,wavy dash
‼,double exclamation mark,! | !! | bangbang | double | exclamation | mark | punctuation,double exclamation mark | ! | !! | bangbang | double | exclamation | mark | punctuation,punctuation,Symbols,punctuation,double exclamation mark
⁉,exclamation question mark,! | !? | ? | exclamation | interrobang | mark | punctuation | question,exclamation question mark | ! | !? | ? | exclamation | interrobang | mark | punctuation | question,punctuation,Symbols,punctuation,exclamation question mark
*⃣,keycap: *,keycap,keycap: * | keycap,keycap,Symbols,keycap,keycap: *
〽,part alternation mark,alternation | mark | part,part alternation mark | alternation | mark | part,symbols,Symbols,other-symbol,part alternation mark
©,copyright,C | copyright,copyright | C | copyright,symbols,Symbols,other-symbol,copyright
®,registered,R | registered,registered | R | registered,symbols,Symbols,other-symbol,registered
↔,left-right arrow,arrow | left-right,left-right arrow | arrow | left-right,arrow,Symbols,arrow,left-right arrow
↕,up-down arrow,arrow | up-down,up-down arrow | arrow | up-down,arrow,Symbols,arrow,up-down arrow
↖,up-left arrow,arrow | direction | intercardinal | northwest | up-left,up-left arrow | arrow | direction | intercardinal | northwest | up-left,arrow,Symbols,arrow,up-left arrow
↗,up-right arrow,arrow | direction | intercardinal | northeast | up-right,up-right arrow | arrow | direction | intercardinal | northeast | up-right,arrow,Symbols,arrow,up-right arrow
↘,down-right arrow,arrow | direction | down-right | intercardinal | southeast,down-right arrow | arrow | direction | down-right | intercardinal | southeast,arrow,Symbols,arrow,down-right arrow
↙,down-left arrow,arrow | direction | down-left | intercardinal | southwest,down-left arrow | arrow | direction | down-left | intercardinal | southwest,arrow,Symbols,arrow,down-left arrow
↩,right arrow curving left,arrow | curving | left | right,right arrow curving left | arrow | curving | left | right,arrow,Symbols,arrow,right arrow curving left
↪,left arrow curving right,arrow | curving | left | right,left arrow curving right | arrow | curving | left | right,arrow,Symbols,arrow,left arrow curving right
⌚,watch,clock | time | watch,watch | clock | time | watch,time,Travel & Places,time,watch
⌛,hourglass done,done | hourglass | sand | time | timer,hourglass done | done | hourglass | sand | time | timer,time,Travel & Places,time,hourglass done
⌨,keyboard,computer | keyboard,keyboard | computer | keyboard,computer,Objects,computer,keyboard
⏏,eject button,button | eject,eject button | button | eject,av symbol,Symbols,av-symbol,eject button
